Fiction ID,Title,Synopsis,Followers
10000,Gravecrawlers,"After what many thought was the last great war of the millennium, when men await new beginnings at the dawn of a new age, two nobodies, forgotten by the world, have a taste of knowledge and truth. Two strangers looking down at the abyss that mankind in the past, feared, and in the present, forgot. And from the abyss they once again begin their slow but unstoppable crawl to the surface.
The break of dawn seems more and more like the twilight, and the abyss has an uncanny resemblance to a grave.",1
10001,An Angel in Hell?,Hello! This is a story I'm writing when I'm bored so don't expect to many updates.,3
10002,The Observer's Notebook: The Dungeon Gods Edition,"The Observer' Notebook: The Dungeon Gods Edition, is a hub for information about my other story, The Dungeon Gods, that is not important enough to have to be posted inside the story, and also cannot be nicely fitted into the story without breaking it completely.
    Within this Notebook, one can find a great deal of information, and if they wish to know about something not already mentioned, they can request it specifically. This will update pretty much whenever I feel like it, so don't expect regular releases.",22
10003,The Archon's Legacy: Forgotten,"The return of the forgotten king.
 
I am pride, wrath and greed. I bow before none. The heavens themself are my throne.
 
I have been called devil, demon, lord, master, savior, destroyer but who am I?
 
*This novel will have everything from kingdom building to massive battle scenes hopefully.
***This is my first novel.
***Proof reading and editing starts at chapter 5. I will be going back and edit as well as revising every 5 chapters",53
10004,The Ocean Flame Palace Host,"Schedule: I am officially going on an indefinite hiatus. Sorry to all readers but I just don't have any more ideas.
Hai Yun is the youngest Divine Rank Alchemist on the Scarlet Flame continent. He was an orphan picked up by a wandering Alchemist Grand master and raised in the Crystal Ocean Alchemy Sect. As he soon got bored of refining other people’s recipes, he started creating his own. One such recipe was of an elixir that can allow one to retain their memories through reincarnation.
He thought this heaven defying elixir could bring about a new golden age for alchemists, to let them keep all of their experience after death. However  it only brings about a calamity as the other powers of the martial world immediately begin lusting after this divine object. They attack the Crystal Ocean Alchemy Sect en masse, razing it to the ground. To keep them from getting it, Hai Yun devours the Elixir and obliterates his body so they can never even find another trace of it in this world.
However, in his reincarnation a series of very interesting things happen…
Glossary: Wuxia Fantasies
***DISCLAIMER*** I do not own any of the artwork which was used in the book cover. It was found through google images.
The person in the background of the cover: https://writer.dek-d.com/Viieeww10/story/view.php?id=1414895
The dragon: https://rocketdock.com/addon/walls/36597
The palace: no real link to the artist, but there is this - 
https://ae01.alicdn.com/kf/HTB1ZBJ1LpXXXXcKXpXXq6xXFXXXL/24X36-INCH-font-b-ART-b-font-SILK-POSTER-castle-font-b-Magic-b-font-font.jpg",319
10007,Pioneer Number 31,A young scientist is sent to explore another planet and finds himself entangled in a war between humans and humanoids.,0
10008,Open World  (Scrapped),"A new MMO, Free Online, boasts unparalleled freedom.  This is the lighthearted, day by day story of a man trying to stand at the pinnacle.    

 
I gave it some thought and I will not be continuing this series. Sorry. It's just not good enough.",13
10009,Crimson Path,"A boy, born at an unfortunate time, in an unfortunate world, has to grow up with a foster father that perhaps killed too much in his life, and in the end leaves the boy to grow up alone in a world that could not care less about him or anyone but the strong. He will go through a childhood of blood and grow into a man who has found his peace after a life of murder, lies, cheats, and the oppression of a world big enough to house multitudes of empires and endless amounts of mysteries.

This is my first ever literature. I will make no commitments, or schedules. I will write as much and as long as I can. I may never finish the story, or I may finish it prematurely. But I will try to make it as interesting as I can.  This story is pretty much written on the go, I have a direction where I want to head, but no real path that I will tread.
Also the title may or may not fit the story so it may change at some point.",0
10010,Shameless Hero,"Shameless Hero Summary
 
The sound of swords clashing, magical barriers shaken, men and women screaming in pain, the ground shaking leaving deep pits on what used to be a prosperous land, arrows piercing through bodies and heads, and burning buildings and fields. In different places not far from each other, one man or woman were fighting to death against 10 masked men.
Just right outside the valley, a young boy, who seemed to be almost reaching the adult age, was leading a bunch of boys and girls towards home. 
""Big brother Ye Tian, can we catch some fireflies when we get home?"" one of the girls asked.
Ye Tian, who was the leader of that group walking home, happened to hear a painful battle towards the direction they're walking towards to. Sensing danger and fear, Ye Tian safely hid his younger siblings from what seems to be a bandit raid. Afterwards, he ran straight home alone as quickly as he could, only to see a massacre happening in his home. He quickly searched for his parents to help get rid of the invaders, however, he got terribly wounded. Unable to move from the swords stabbing his back and legs, he could only open his eyes and witness his parents and all the villagers being massacred! 
The flames raged on throughout the night burning everything into ashes leaving no evidence behind. Within the sea of flames, a piercing light appeared as bright as the heavens completely covering Ye Tian from the sea of flames.
By the time Ye Tian opened his eyes, only confusement, pain, sadness, and a mystery filled his mind. He was lucky to be alive, but what no one knew except for himself was that he was running out of time!
 

 
Note
I’m an amateur writer. Simple as that. I hated writing unless it was for school assignments. But I definitely love daydreaming, narrating stories revolving around heroes, adventures, humor, and a touch of romance. My grammar is average at best, but I have decided to give it a try. Please bear with me.
This is a Xianxia story, which is basically an ancient Chinese mythology meets video games meets fantasy. 
 
———————————————————————————————————————————————————————————
I have two goals for writing this:

Improve on my grammar as I continue to write more and more chapters.
A story that many people can enjoy!

I hope everyone will be entertained with this story. If anyone is willing to proof-read and revise my grammar, please contact me. I'll be writing a minimum of 5 chapters per week. If you have some feedback, I’m all ears!
 
 
----------------------------------------------------------------------------------------------------------------------
FAQ GUIDE
 
Cultivation Realm:

Master Dao Realm
Great Dao Realm
Supreme Dao Realm
Infinite Dao Realm
Immortal Dao Realm
Heaven Dao Realm

Each realm begins from early > middle/intermediate > late > peak.",66
10011,The man with a monstrous body,the story of a man who has been transported to another world of magic and absurdity and how he will be know by both human and monster alike as an abomination but not all think like that his wives think of him as a lustfuly shy beast,12
